type,full_name,email,password,profile_id,status
TEACHER,David ADJETE,david.adjete15@edu-eval.local,Edu@S015IG1SXh,52ded30b-d1b8-4c77-8865-ba404d0d2665,created
TEACHER,David ADJOVI,david.adjovi4@edu-eval.local,Edu@S004jhIJwz,e2a49b85-e834-43f7-a152-8e2d7cc5554d,created
TEACHER,Yao AGBODJAN,yao.agbodjan8@edu-eval.local,Edu@S0081gXRCd,d3b902bd-a7a0-48e8-aa1e-96b3f3e952c6,created
TEACHER,Eric AKAKPO,eric.akakpo7@edu-eval.local,Edu@S007BYmjJV,427bcd47-58b8-4d62-b42d-acd536426258,created
TEACHER,Grace AKPABIE,grace.akpabie12@edu-eval.local,Edu@S012U3m0uT,39884e6f-039d-437e-a971-52e375567e29,created
TEACHER,Marie ALLODE,marie.allode1@edu-eval.local,Edu@S001U1cDDc,f78010e8-ff32-4f09-9fca-f5175bd63690,created
TEACHER,Marie AMEGAN,marie.amegan14@edu-eval.local,Edu@S014MYhZmO,76d46dd4-e90f-48e5-82bf-7016df33d7d5,created
TEACHER,Patrick AYITE,patrick.ayite20@edu-eval.local,Edu@S0204XHMwK,a4e3d98e-8e01-426e-9154-790cf274c952,created
TEACHER,Afi BOKO,afi.boko16@edu-eval.local,Edu@S016vGxeeY,2a38c99b-f22d-484f-8ec2-40e07cca9905,created
TEACHER,Prisca DOGBE,prisca.dogbe13@edu-eval.local,Edu@S013h4L4hT,37f0a649-7173-4da8-b5ef-17fa8601c9e8,created
TEACHER,Michel KIGUI,michel.kigui2@edu-eval.local,Edu@S002mFykp8,07a10af4-f79c-42c2-9747-36880ab21ce1,created
TEACHER,Afi KOFFI,afi.koffi5@edu-eval.local,Edu@S005cuUPoI,7e788912-5edf-47b5-852b-cbc34b2c3726,created
TEACHER,Ruth KOMI,ruth.komi18@edu-eval.local,Edu@S018A4HaQR,f2a0118a-3dc8-44d5-af68-5bab724b0aa9,created
